Type of Question	Question	Choice 1	Choice 2	Choice 3	Choice 4	Correct Answer
EVALUATE	According to structural differences between humans and computers, which pairing is correct?	Humans: discrete nature; Computers: continuous nature	Humans: electrochemical storage; Computers: electronic storage	Human: Binary logic; Computers: fuzzy knowledge	Humans: unlimited memory; Computers: limited memory	Humans: electrochemical storage; Computers: electronic storage
EVALUATE	A chatbot is labeled "intelligent" because an interrogator cannot distinguish its text replies from a human's. Why is this evaluation criticized under the Turing Test?	It ignores math computing speed	It assumes comparing outward behavior alone proves thinking.	It does not account for a lack of a physical body.	It requires the chatbot to use fuzzy logic.	It assumes comparing outward behavior alone proves thinking.
REMEMBER	According to Howard Garner, David Perkins and Robern Sternberg, Intelligence is a combination of the abilities to:	Learn, pose problems, and solve problems	Simplify problems, solve problems, and graph problems	Innovate, remember, and analyze	Perceive, adapt, and solve problems	Learn, pose problems, and solve problems
REMEMBER	Who coined the term “Artificial Intelligence” during the 1956 conference?	Marvin Minsky	Allen Newell	John McCarthy	Tim-Berners Lee	John McCarthy
REMEMBER	Which researcher defined artificial intelligence as “the science of making machines do things that would require intelligence if performed by humans”?	Allen Newell	Alfred Binet	Marvin Minsky	Tim Berners-Lee	Marvin Minsky
REMEMBER	Who coined AI?	John McCarthy	Alfred Binet	Marvin Minsky	Allen Newell	John McCarthy
SYNTHESIS	If Kurzweil's prediction proves accurate and machines reach human-level intelligence by 2029, which capability would most plausibly follow, based on concepts from your AI readings?	Machines would be able to solve differential equations, since they already do this today	Machines would gain common-sense knowledge and adaptability — allowing them to handle everyday, unstructured tasks like caregiving or understanding natural conversation, not just narrow computational tasks.	Machines would be limited to playing games like chess and checkers, since that was AI's original application area	Machines would remain "dumb" and emotionless, since computers use binary logic rather than fuzzy logic	Machines would gain common-sense knowledge and adaptability — allowing them to handle everyday, unstructured tasks like caregiving or understanding natural conversation, not just narrow computational tasks.
SYNTHESIS	If you are given a chance to create/design a learning agent for a robot, which component would you need to ensure that it can suggest actions that could lead to new information?	Performance element	The critic	Problem generator	Learning element	Problem generator
SYNTHESIS	Which of the following proposals best combines two AI subfields to solve a real-world problem?	A calculator using only binary logic	A chatbot with no natural language processing	A robot combining vision and robotics to sort recyclable materials.	A sensor-less robot that memorizes chess movements.	A robot combining vision and robotics to sort recyclable materials.
SYNTHESIS	A computer defeats a world chess champion not by using new AI algorithms, but by running existing chess strategies on modern hardware. Which two concepts are synthesized to explain this milestone?	Fuzzy logic and expert systems	Biological neural networks and natural language processing	Game-playing search strategies and exponential hardware scaling	Robotic manipulators and distributed wireless networks	Game-playing search strategies and exponential hardware scaling
UNDERSTAND	Which of these statements best describes the Turing Test?	It measures how fast a computer can perform mathematical calculations compared to a human	It places a human interrogator in a separate room to determine, through conversation, whether they are communicating with a human or a machine—if they cannot tell the difference, the machine is considered intelligent	It tests whether a machine can physically imitate human movement and behavior	It measures a machine's emotional intelligence compared to a human's	It places a human interrogator in a separate room to determine, through conversation, whether they are communicating with a human or a machine—if they cannot tell the difference, the machine is considered intelligent
UNDERSTAND	Which definition best defines intelligence?	Ability to remember information fast	Ability to learn, pose problems, and solve problems	Ability to differentiate from what is right to what is wrong	The capacity to withstand any emotional trauma	Ability to learn, pose problems, and solve problems
UNDERSTAND	Which statement best explains the “common-sense gap” currently found in artificial intelligence systems?	AI does not have the capacity to process complex mathematical equations as quickly as humans.	AI cannot generate its own knowledge by analyzing its own data and information.	AI can excel at specialized tasks like chess but lacks a child’s basic understanding of physical properties.	AI systems cannot convert human knowledge into a format suitable for machine use.	AI can excel at specialized tasks like chess but lacks a child’s basic understanding of physical properties.
UNDERSTAND	How is Emotional Intelligence defined, except one	Emotional Management	Emotional Understanding	Facilitation of thought	Cognitive Ability	Cognitive Ability
